position_id,arm_id,move_model,provider,preset_id,ply,unresolved,legal_actions,action_id,direct_action_id,move_changed,matches_oracle,seconds,c1_forwards,unique_worlds,worlds_requested,score_margin,legal
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0012,p18_oracle,p18,oracle,TINY,12,37,11,2838,2838,0,1,0.03723,41,1,8,0.158085,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0012,p24_oracle,p24,oracle,TINY,12,37,11,3949,3949,0,1,0.03236,41,1,8,0.043987,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0012,p18_direct,p18,,direct,12,37,11,2838,2838,0,1,0.00197,1,,,,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0012,p24_direct,p24,,direct,12,37,11,3949,3949,0,1,0.00199,1,,,,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0012,p18_remaining_count,p18,remaining_count,TINY,12,37,11,2838,2838,0,1,0.12477,321,8,8,0.111627,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0012,p18_b18,p18,b18,TINY,12,37,11,2838,2838,0,1,0.12359,321,8,8,0.119215,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0012,p18_b24,p18,b24,TINY,12,37,11,2838,2838,0,1,0.12319,321,8,8,0.112541,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0012,p24_remaining_count,p24,remaining_count,TINY,12,37,11,3949,3949,0,1,0.12203,321,8,8,0.058749,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0012,p24_b18,p24,b18,TINY,12,37,11,3949,3949,0,1,0.1239,321,8,8,0.067555,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0012,p24_b24,p24,b24,TINY,12,37,11,3949,3949,0,1,0.12297,321,8,8,0.074891,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0038,p18_oracle,p18,oracle,TINY,38,36,16,5060,5060,0,1,0.03259,41,1,8,0.102197,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0038,p24_oracle,p24,oracle,TINY,38,36,16,2221,5060,1,1,0.03059,41,1,8,0.042449,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0038,p18_direct,p18,,direct,38,36,16,5060,5060,0,1,0.00194,1,,,,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0038,p24_direct,p24,,direct,38,36,16,5060,5060,0,0,0.00189,1,,,,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0038,p18_remaining_count,p18,remaining_count,TINY,38,36,16,5060,5060,0,1,0.11746,318,8,8,0.088268,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0038,p18_b18,p18,b18,TINY,38,36,16,5060,5060,0,1,0.12142,321,8,8,0.031454,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0038,p18_b24,p18,b24,TINY,38,36,16,5060,5060,0,1,0.12279,321,8,8,0.153782,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0038,p24_remaining_count,p24,remaining_count,TINY,38,36,16,2221,5060,1,1,0.16466,318,8,8,0.075321,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0038,p24_b18,p24,b18,TINY,38,36,16,2221,5060,1,1,0.12156,321,8,8,0.175793,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0038,p24_b24,p24,b24,TINY,38,36,16,2221,5060,1,1,0.11996,321,8,8,0.041504,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,p18_oracle,p18,oracle,TINY,66,31,19,807,807,0,1,0.03011,41,1,8,0.075298,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,p24_oracle,p24,oracle,TINY,66,31,19,207,207,0,1,0.03049,41,1,8,0.15537,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,p18_direct,p18,,direct,66,31,19,807,807,0,1,0.00187,1,,,,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,p24_direct,p24,,direct,66,31,19,207,207,0,1,0.00185,1,,,,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,p18_remaining_count,p18,remaining_count,TINY,66,31,19,807,807,0,1,0.11791,320,8,8,0.063392,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,p18_b18,p18,b18,TINY,66,31,19,807,807,0,1,0.12234,321,8,8,0.055704,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,p18_b24,p18,b24,TINY,66,31,19,807,807,0,1,0.12107,321,8,8,0.069407,1
phase15_match_pack_v1|ms=2026082420|opp=p18|src=neutral_v1|fam=any|col=red|g=100|ply=0066,p24_remaining_count,p24,remaining_count,TINY,66,31,19,207,207,0,1,0.11812,320,8,8,0.127036,1
